fish,treatment,social_treatment,near_prop,startflare_prop,bnpresent,bnsize,dm3_avg,vv_avg
fish1,mirror,yes,0.9478301553192068,0.26256348592859785,no,0,,
fish10,mirror,yes,0.23597702202553103,0.087708746,yes,21.41828701,38.5,8.5
fish11,mirror,yes,0.5055784017454086,0.007333802,no,0,26.25,3.833333333
fish12,mirror,yes,1,0.016000134201167537,no,0,,
fish13,aobject,no,0.4048304301502473,0,no,0,1.375,0.5
fish14,aobject,no,0.5694584805353625,0.003722438,yes,8.772437353,,
fish15,aobject,no,0.4960293602816853,0,no,0,10.0625,4.875
fish16,aobject,no,0.6071485725004848,0,no,0,21.3,6.9
fish18,aobject,no,0.6764447834796682,0,no,0,0.625,0
fish2,mirror,yes,0.9832892537916735,0.4237543406414625,yes,62.00182482,18.5,17.33333333
fish20,aobject,no,0.5401856195948841,0,yes,43.81288783,1.291666667,0.791666667
fish21,aobject,no,0.7932482268249111,0,no,0,,
fish22,aobject,no,0.5521934559313196,0,no,0,18.8,13
fish24,aobject,no,0.5589083240130013,0.010068527,no,0,,
fish25,aobject,no,0.380250486,0.1269759257918517,no,0,,
fish26,aobject,no,0.3578211605649587,8.421375820343989e-4,no,0,,
fish27,aobject,no,0.5144238402619229,0,no,0,23.16666667,7.666666667
fish29,opponent,yes,0.9979834585147732,0.6359696791251528,no,0,,
fish3,mirror,yes,1,0.7212278586664193,yes,65.7,19.75,3.75
fish30,opponent,yes,0.5657590587153922,0.5917968028943773,no,0,15.41666667,2.75
fish31,opponent,yes,0.9608319619241562,0.46127785146570366,no,0,13.65,2.1
fish32,opponent,yes,0.10618085163528858,0,no,0,1.25,0
fish33,opponent,yes,1,0.5198907977294712,no,0,23.75,2.625
fish34,opponent,yes,1,0.6742879419516182,no,0,28.75,8.125
fish35,opponent,yes,0.9712281115500265,0.19514824100561995,yes,7.625135928,12.5,8.25
fish36,opponent,yes,0.6050225373035892,0.19313564403803996,no,0,5.333333333,0.75
fish37,opponent,yes,0.9857614001896198,0.32229120782025117,yes,4.945636363,3.375,2.6875
fish38,opponent,yes,0.8041360848175029,0.38878026704376284,yes,31.75810496,,
fish39,opponent,yes,0.9982906991764176,0.2278779797229498,no,0,28.91666667,4.5
fish4,mirror,yes,1.002286472931111,0.697667079,yes,52.83461659,7.875,1.625
fish40,opponent,yes,0.44550399764719795,0.040205141,yes,19.40342465,18.8125,5.375
fish5,mirror,yes,0.9761826538677978,0.3244639868078235,no,0,21.7,0.833333333
fish6,mirror,yes,0.9903574255695925,0.4874846644285894,yes,5.635776856,,
fish7,mirror,yes,0.32280673859630854,0.068713098,yes,60.9,2.5,1.875
fish8,mirror,yes,0.41497559278523183,0.22458569644622486,no,0,13.8125,1.357142857
fish9,mirror,yes,0.26904649182981777,0.13274640681670702,no,0,46.66666667,6.333333333
